x,y,heading,kappa,v,d_left,d_right
32.48240,34.75516,-2.53912,0.05908,8.00000,0.51209,1.70695
31.82821,34.27998,-2.48870,0.05670,8.00000,0.48770,1.70695
31.20142,33.77550,-2.44065,0.05310,8.00000,0.48770,1.70695
30.59229,33.23700,-2.39625,0.04944,8.00000,0.56085,1.65818
29.99697,32.66387,-2.35573,0.04566,8.00000,0.60962,1.56064
29.41529,32.05890,-2.31905,0.04178,8.00000,0.73155,1.46310
28.84797,31.42618,-2.28607,0.03784,8.00000,0.85347,1.36556
28.29580,30.77026,-2.25660,0.03392,8.00000,0.92663,1.29241
27.75922,30.09569,-2.23047,0.03005,8.00000,0.97540,1.21925
27.23850,29.40703,-2.20748,0.02633,8.00000,1.04856,1.17048
26.73303,28.70782,-2.18744,0.02277,8.00000,1.07294,1.12171
26.24113,28.00002,-2.17022,0.01939,8.00000,1.04856,1.09733
25.76082,27.28499,-2.15569,0.01616,8.00000,1.09733,1.09733
25.29022,26.56402,-2.14372,0.01311,8.00000,1.07294,1.12171
24.82753,25.83826,-2.13418,0.01022,8.00000,1.02417,1.14610
24.37101,25.10880,-2.12693,0.00749,8.00000,0.99979,1.17048
23.91903,24.37665,-2.12187,0.00488,8.00000,0.95102,1.21925
23.47000,23.64275,-2.11890,0.00239,8.00000,0.92663,1.29241
23.02243,22.90802,-2.11793,-0.00002,8.00000,0.85347,1.31679
22.57488,22.17334,-2.11891,-0.00237,8.00000,0.80471,1.41433
22.12592,21.43958,-2.12181,-0.00469,8.00000,0.75594,1.46310
21.67418,20.70759,-2.12659,-0.00700,8.00000,0.70717,1.48748
21.21827,19.97823,-2.13326,-0.00931,8.00000,0.63401,1.56064
20.75679,19.25232,-2.14185,-0.01166,8.00000,0.58524,1.60941
20.28829,18.53068,-2.15236,-0.01404,8.00000,0.53647,1.65818
19.81135,17.81420,-2.16484,-0.01646,8.00000,0.51209,1.68257
19.32454,17.10380,-2.17931,-0.01893,8.00000,0.48770,1.70695
18.82639,16.40045,-2.19578,-0.02141,8.00000,0.46332,1.73134
18.31542,15.70510,-2.21680,-0.03009,8.00000,0.48770,1.73134
17.78669,15.02138,-2.24488,-0.03884,8.00000,0.51209,1.68257
17.23531,14.35314,-2.28006,-0.04774,8.00000,0.53647,1.60941
16.65663,13.70469,-2.32243,-0.05684,8.00000,0.63401,1.56064
16.04627,13.08096,-2.37208,-0.06621,7.99386,0.75594,1.46310
15.39993,12.48729,-2.42911,-0.07593,7.69786,0.97540,1.31679
14.71808,11.93360,-2.49409,-0.08616,7.41211,1.14610,1.09733
14.01394,11.43910,-2.56900,-0.09687,7.14421,1.31679,0.90224
13.30872,11.02507,-2.65722,-0.10799,6.90517,1.48748,0.70717
12.60756,10.69909,-2.76104,-0.11993,6.70606,1.63380,0.56085
11.88231,10.45443,-2.87764,-0.13342,6.70606,1.73134,0.46332
11.11558,10.29588,-2.99355,-0.12421,6.70606,1.63380,0.56085
10.31826,10.22118,-3.09948,-0.11663,6.87825,1.58503,0.58524
9.50434,10.22799,3.08550,-0.11032,7.06168,1.58503,0.58524
8.68668,10.31280,2.99323,-0.10505,7.24511,1.63380,0.60962
7.87782,10.47109,2.90535,-0.10062,7.42233,1.63380,0.53647
7.08851,10.69755,2.82064,-0.09688,7.58980,1.65818,0.53647
6.32392,10.98768,2.73854,-0.09379,7.74643,1.65818,0.53647
5.58764,11.33752,2.65858,-0.09129,7.89101,1.60941,0.56085
4.88602,11.74177,2.58004,-0.08932,8.00000,1.63380,0.56085
4.22537,12.19455,2.50216,-0.08779,8.00000,1.65818,0.51209
3.60806,12.69214,2.42465,-0.08674,8.00000,1.70695,0.48770
3.03041,13.23617,2.34792,-0.08617,8.00000,1.70695,0.51209
2.48849,13.83040,2.27250,-0.08605,8.00000,1.58503,0.63401
1.98136,14.47733,2.19864,-0.08637,8.00000,1.41433,0.85347
1.50834,15.18082,2.12663,-0.08698,8.00000,1.21925,1.02417
1.07436,15.93749,2.05610,-0.08774,7.95759,1.02417,1.19487
0.69022,16.73213,1.98562,-0.08892,7.75352,0.85347,1.41433
0.36423,17.55006,1.91376,-0.09074,7.51325,0.68278,1.58503
0.09972,18.38582,1.83989,-0.09315,7.23640,0.53647,1.65818
-0.10100,19.23699,1.76367,-0.09615,6.91941,0.48770,1.73134
-0.23518,20.10059,1.68057,-0.11009,6.61064,0.48770,1.70695
-0.29255,20.97496,1.58607,-0.12499,6.30687,0.56085,1.65818
-0.26205,21.85936,1.48011,-0.14122,6.00192,0.75594,1.48748
-0.13125,22.74874,1.36228,-0.15949,5.68797,0.99979,1.26802
0.10589,23.59822,1.22646,-0.18048,5.37082,1.29241,1.02417
0.43802,24.33612,1.05836,-0.20544,5.08138,1.60941,0.73155
0.85884,24.93665,0.84481,-0.23850,4.93100,1.70695,0.48770
1.37452,25.39107,0.59287,-0.25206,4.85832,1.70695,0.51209
1.95572,25.67564,0.31656,-0.25420,4.85832,1.70695,0.48770
2.60961,25.79566,0.05474,-0.23881,4.85832,1.73134,0.48770
3.34290,25.75164,-0.14118,-0.16928,5.06137,1.65818,0.53647
4.11807,25.58128,-0.26298,-0.10511,5.47774,1.46310,0.78032
4.92775,25.32498,-0.32407,-0.04223,5.98209,1.24364,1.04856
5.75980,25.02980,-0.33270,0.02058,6.01525,0.99979,1.29241
6.56469,24.75934,-0.28966,0.08322,5.47782,0.75594,1.51187
7.32566,24.56311,-0.18661,0.14668,5.00345,0.58524,1.60941
8.07441,24.47429,-0.01817,0.21361,4.58670,0.51209,1.70695
8.79708,24.53638,0.22760,0.29136,4.29818,0.46332,1.70695
9.43515,24.78946,0.54495,0.32477,4.29818,0.46332,1.73134
9.94895,25.23462,0.85359,0.26877,4.29818,0.48770,1.73134
10.33710,25.82364,1.10595,0.23553,4.65213,0.46332,1.68257
10.58902,26.51095,1.31920,0.20703,4.97308,0.48770,1.70695
10.70348,27.24899,1.50527,0.18711,5.27697,0.48770,1.73134
10.68646,27.99572,1.67534,0.17327,5.55061,0.48770,1.70695
10.54842,28.72677,1.82784,0.14868,5.79019,0.51209,1.68257
10.30333,29.45329,1.95459,0.12719,6.07788,0.58524,1.60941
9.95898,30.18644,2.05643,0.10702,6.40083,0.73155,1.53625
9.53192,30.91486,2.13755,0.08749,6.75143,0.92663,1.34118
9.04408,31.62404,2.20137,0.06851,7.12229,1.09733,1.12171
8.51430,32.30888,2.24953,0.04992,7.50823,1.21925,1.02417
7.95725,32.97152,2.28269,0.03161,7.90505,1.26802,0.87786
7.38556,33.61707,2.30111,0.01352,8.00000,1.34118,0.82909
6.81043,34.25220,2.30487,-0.00436,8.00000,1.41433,0.80471
6.24206,34.88441,2.29394,-0.02204,8.00000,1.41433,0.78032
5.68988,35.52173,2.26821,-0.03959,7.82212,1.38994,0.78032
5.16163,36.17390,2.22763,-0.05714,7.44884,1.34118,0.87786
4.66300,36.85353,2.17255,-0.07473,7.08690,1.31679,0.90224
4.20265,37.57038,2.10342,-0.09250,6.73433,1.24364,0.99979
3.79439,38.32712,2.02018,-0.11076,6.38989,1.09733,1.09733
3.45467,39.12127,1.92200,-0.13002,6.05208,1.02417,1.19487
3.20063,39.94770,1.80753,-0.15092,5.71765,0.92663,1.26802
3.04924,40.80172,1.67547,-0.17420,5.37811,0.99979,1.19487
3.01962,41.67069,1.52337,-0.20106,5.01968,1.24364,1.07294
3.12988,42.50084,1.34027,-0.23387,4.64433,1.53625,0.78032
3.38061,43.20883,1.09967,-0.27817,4.64433,1.75572,0.51209
3.76279,43.74335,0.80455,-0.27066,4.64433,1.73134,0.48770
4.26141,44.12403,0.50820,-0.25546,4.76737,1.60941,0.56085
