R_m,gamma_goal_deg,feasible
0.05,,False
0.05477386934673367,,False
0.05954773869346734,,False
0.06432160804020101,,False
0.06909547738693467,,False
0.07386934673366835,,False
0.078643216080402,,False
0.08341708542713568,,False
0.08819095477386935,,False
0.09296482412060302,,False
0.09773869346733668,,False
0.10251256281407034,,False
0.10728643216080402,,False
0.11206030150753768,,False
0.11683417085427135,,False
0.12160804020100502,,False
0.1263819095477387,,False
0.13115577889447236,,False
0.135929648241206,,False
0.1407035175879397,,False
0.14547738693467338,94.64294974089732,True
0.150251256281407,105.19263980770803,True
0.1550251256281407,110.71811084978327,True
0.15979899497487438,114.85288407645785,True
0.16457286432160803,118.22844974135648,True
0.1693467336683417,121.10395205083493,True
0.17412060301507537,123.61709073072973,True
0.17889447236180905,125.8518910633839,True
0.18366834170854268,127.86431845960955,True
0.18844221105527637,129.69397988469632,True
0.19321608040201005,131.37018138627306,True
0.19798994974874373,132.91535806237476,True
0.20276381909547736,134.34715243132752,True
0.20753768844221104,135.6797426022506,True
0.21231155778894473,136.9247282411845,True
0.21708542713567835,138.09174283253128,True
0.22185929648241204,139.18888952537685,True
0.22663316582914572,140.22305931957362,True
0.2314070351758794,141.20016845115575,True
0.23618090452261303,142.12533886893488,True
0.24095477386934672,143.00303773446177,True
0.2457286432160804,143.83718683739502,True
0.25050251256281403,144.63124953828742,True
0.2552763819095477,145.38830066379097,True
0.2600502512562814,146.11108328912306,True
0.2648241206030151,146.8020553073338,True
0.2695979899497487,147.46342795286557,True
0.2743718592964824,148.0971979209446,True
0.2791457286432161,148.7051743409246,True
0.2839195979899497,149.28900157843458,True
0.2886934673366834,149.85017862933273,True
0.29346733668341707,150.39007570822224,True
0.29824120603015075,150.9099485118074,True
0.3030150753768844,151.41095054284,True
0.30778894472361806,151.89414380679412,True
0.31256281407035175,152.36050813559476,True
0.3173366834170854,152.8109493469686,True
0.32211055276381906,153.24630641149963,True
0.32688442211055274,153.66735777017894,True
0.33165829145728637,154.0748269215684,True
0.33643216080402005,154.4693873784516,True
0.34120603015075374,154.8516670781096,True
0.3459798994974874,155.2222523174211,True
0.35075376884422105,155.581691273293,True
0.35552763819095473,155.93049716005152,True
0.3603015075376884,156.26915106801349,True
0.36507537688442204,156.59810452125285,True
0.3698492462311557,156.91778178735393,True
0.3746231155778894,157.22858196753182,True
0.3793969849246231,157.5308808917581,True
0.3841708542713567,157.82503284034794,True
0.3889447236180904,158.11137211074399,True
0.3937185929648241,158.39021444590455,True
0.3984924623115577,158.66185833870054,True
0.4032663316582914,158.92658622499977,True
0.4080402010050251,159.1846655766251,True
0.41281407035175877,159.4363499040794,True
0.4175879396984924,159.68187967780477,True
0.4223618090452261,159.9214831757641,True
0.42713567839195976,160.15537726427644,True
0.43190954773869344,160.38376811828724,True
0.4366834170854271,160.6068518865972,True
0.44145728643216076,160.8248153069931,True
0.44623115577889444,161.03783627571462,True
0.45100502512562807,161.2460843752398,True
0.45577889447236175,161.44972136397206,True
0.46055276381909543,161.6489016310589,True
0.4653266331658291,161.8437726192567,True
0.47010050251256275,162.03447521847738,True
0.47487437185929643,162.2211441324014,True
0.4796482412060301,162.40390822032106,True
0.48442211055276374,162.58289081617613,True
0.4891959798994974,162.75821002656738,True
0.4939698492462311,162.92997900937183,True
0.4987437185929648,163.09830623444046,True
0.5035175879396985,163.26329572772852,True
0.5082914572864321,163.42504730009315,True
0.5130653266331658,163.58365676188606,True
0.5178391959798995,163.7392161243747,True
0.5226130653266331,163.89181378893923,True
0.5273869346733668,164.041534724914,True
0.5321608040201005,164.1884606368715,True
0.5369346733668341,164.33267012208296,True
