t_s,k=0 (uncompensated),k=1 (freezes drift),k=2 (restores to pull)
0.0,197.18873385392467,197.18873385392467,197.18873385392467
0.0010001666944490749,197.32886125201458,197.18873385392467,197.0486064558348
0.0020003333888981498,197.47009610978404,197.18873385392467,196.90958735557822
0.0030005000833472247,197.61244632490988,197.18873385392467,196.77166860909102
0.0040006667777962995,197.7559198303201,197.18873385392467,196.63484230928154
0.005000833472245374,197.90052459379712,197.18873385392467,196.4991005863753
0.006001000166694449,198.0462686175637,197.18873385392467,196.3644356082433
0.007001166861143524,198.19315993785006,197.18873385392467,196.230839580714
0.008001333555592599,198.3412066244426,197.18873385392467,196.09830474786943
0.009001500250041674,198.49041678021322,197.18873385392467,195.96682339232603
0.010001666944490749,198.6407985406291,197.18873385392467,195.8363878354998
0.011001833638939824,198.79236007324263,197.18873385392467,195.70699043785743
0.012002000333388899,198.9451095771606,197.18873385392467,195.57862359915237
0.013002167027837973,199.09905528249251,197.18873385392467,195.45127975864742
0.014002333722287048,199.25420544977786,197.18873385392467,195.32495139532318
0.015002500416736123,199.41056836939092,197.18873385392467,195.1996310280734
0.016002667111185198,199.56815236092373,197.18873385392467,195.07531121588735
0.017002833805634273,199.7269657725462,197.18873385392467,194.95198455801926
0.018003000500083348,199.88701698034268,197.18873385392467,194.82964369414566
0.019003167194532423,200.04831438762503,197.18873385392467,194.70828130451068
0.020003333888981498,200.21086642422148,197.18873385392467,194.58789011005936
0.021003500583430573,200.37468154574034,197.18873385392467,194.4684628725599
0.022003667277879647,200.53976823280897,197.18873385392467,194.34999239471446
0.023003833972328722,200.70613499028656,197.18873385392467,194.23247152025942
0.024004000666777797,200.87379034645093,197.18873385392467,194.1158931340549
0.025004167361226872,201.0427428521583,197.18873385392467,194.00025016216415
0.026004334055675947,201.21300107997598,197.18873385392467,193.88553557192296
0.027004500750125022,201.38457362328677,197.18873385392467,193.77174237199924
0.028004667444574097,201.5574690953656,197.18873385392467,193.65886361244338
0.02900483413902317,201.73169612842665,197.18873385392467,193.54689238472932
0.030005000833472247,201.9072633726414,197.18873385392467,193.4358218217866
0.03100516752792132,202.0841794951263,197.18873385392467,193.32564509802407
0.032005334222370396,202.26245317890036,197.18873385392467,193.21635542934482
0.033005500916819475,202.442093121811,197.18873385392467,193.1079460731531
0.034005667611268546,202.62310803542877,197.18873385392467,193.0004103283534
0.03500583430571762,202.8055066439095,197.18873385392467,192.89374153534163
0.036006001000166696,202.98929768282372,197.18873385392467,192.78793307598895
0.037006167694615774,203.1744898979527,197.18873385392467,192.68297837361814
0.038006334389064846,203.36109204405062,197.18873385392467,192.5788708929734
0.03900650108351392,203.5491128835721,197.18873385392467,192.47560414018267
0.040006667777962995,203.73856118536466,197.18873385392467,192.37317166271382
0.041006834472412074,203.92944572332567,197.18873385392467,192.27156704932415
0.042007001166861145,204.1217752750228,197.18873385392467,192.17078393000386
0.043007167861310217,204.3155586202779,197.18873385392467,192.0708159759133
0.044007334555759295,204.51080453971338,197.18873385392467,191.9716568993145
0.04500750125020837,204.70752181326068,197.18873385392467,191.87330045349702
0.046007667944657445,204.90571921863014,197.18873385392467,191.77574043269834
0.047007834639106516,205.1054055297417,197.18873385392467,191.67897067201883
0.048008001333555594,205.30658951511631,197.18873385392467,191.58298504733185
0.04900816802800467,205.5092799362266,197.18873385392467,191.48777747518847
0.050008334722453744,205.713485545807,197.18873385392467,191.39334191271803
0.051008501416902816,205.9192150861227,197.18873385392467,191.29967235752343
0.052008668111351894,206.12647728719617,197.18873385392467,191.20676284757235
0.05300883480580097,206.33528086499174,197.18873385392467,191.11460746108392
0.054009001500250044,206.54563451955696,197.18873385392467,191.0232003164115
0.055009168194699115,206.7575469331203,197.18873385392467,190.9325355719212
0.056009334889148193,206.97102676814507,197.18873385392467,190.8426074258665
0.05700950158359727,207.18608266533843,197.18873385392467,190.75341011625946
0.05800966827804634,207.40272324161552,197.18873385392467,190.66493792073788
0.059009834972495415,207.62095708801797,197.18873385392467,190.57718515642935
0.06001000166694449,207.84079276758612,197.18873385392467,190.49014617981175
0.06101016836139357,208.06223881318485,197.18873385392467,190.40381538657073
0.06201033505584264,208.28530372528226,197.18873385392467,190.31818721145393
0.06301050175029171,208.5099959696809,197.18873385392467,190.23325612812235
0.06401066844474079,208.73632397520095,197.18873385392467,190.1490166489988
0.06501083513918987,208.96429613131522,197.18873385392467,190.06546332511365
0.06601100183363895,209.19392078573512,197.18873385392467,189.98259074594802
0.06701116852808801,209.4252062419475,197.18873385392467,189.90039353927432
0.06801133522253709,209.6581607567022,197.18873385392467,189.81886637099458
0.06901150191698617,209.89279253744914,197.18873385392467,189.7380039449763
0.07001166861143523,210.12910973972578,197.18873385392467,189.6578010028862
0.07101183530588431,210.36712046449355,197.18873385392467,189.57825232402192
0.07201200200033339,210.60683275542365,197.18873385392467,189.49935272514145
0.07301216869478247,210.84825459613157,197.18873385392467,189.42109706029115
0.07401233538923155,211.09139390736047,197.18873385392467,189.3434802206314
0.07501250208368061,211.33625854411264,197.18873385392467,189.26649713426087
0.07601266877812969,211.58285629272953,197.18873385392467,189.19014276603917
0.07701283547257877,211.83119486791972,197.18873385392467,189.11441211740765
0.07801300216702783,212.0812819097346,197.18873385392467,189.03930022620892
0.07901316886147691,212.33312498049233,197.18873385392467,188.96480216650514
0.08001333555592599,212.5867315616492,197.18873385392467,188.8909130483946
0.08101350225037507,212.84210905061897,197.18873385392467,188.81762801782742
0.08201366894482415,213.0992647575399,197.18873385392467,188.7449422564199
0.08301383563927321,213.35820590198955,197.18873385392467,188.67285098126774
0.08401400233372229,213.61893960964753,197.18873385392467,188.60134944475843
0.08501416902817137,213.88147290890626,197.18873385392467,188.5304329343824
0.08601433572262043,214.14581272743004,197.18873385392467,188.46009677254355
0.08701450241706951,214.41196588866225,197.18873385392467,188.39033631636886
0.08801466911151859,214.67993910828147,197.18873385392467,188.32114695751704
0.08901483580596767,214.94973899060656,197.18873385392467,188.25252412198688
0.09001500250041675,215.22137202495088,197.18873385392467,188.18446326992446
0.09101516919486581,215.4948445819266,197.18873385392467,188.1169598954303
0.09201533588931489,215.77016290969877,197.18873385392467,188.05000952636544
0.09301550258376397,216.0473331301905,197.18873385392467,187.98360772415754
